slot,scene,ours_paired_retrieval,round1_completion_tier,historical_first_tier,strict_improvement,changed_first,first_pose,second_pose,round2_vote_budget_possible,round2_completion_tier,final_minimum_missing_cells
95,eval-easy-002,True,2,2,False,True,"[-1.4171957277012661,-0.07337114113365081,1.2671717063048347,-0.011114804709080772]","[-1.4171957277012661,-2.073371141133651,1.2671717063048347,-0.011114804709080772]",4,2,3
46,eval-easy-014,True,2,1,True,True,"[-2.4350137603023523,-0.022956393937960028,1.3202297230805922,-0.011276422064310232]","[-2.4350137603023523,-0.022956393937960028,1.3202297230805922,-0.011276422064310232]",0,0,1
74,eval-easy-016,True,2,2,False,True,"[-1.4212478352405067,-0.07035190187884705,1.2465120782575374,-0.011957806044838648]","[-1.4212478352405067,-2.070351901878847,1.2465120782575374,-0.011957806044838648]",4,2,2
124,eval-easy-024,True,2,1,True,True,"[-2.483193322567859,-0.9631602306952868,1.2807850568074952,-0.010049955858342674]","[-1.483193322567859,-1.9631602306952867,1.2807850568074952,-0.010049955858342674]",5,2,1
83,eval-easy-027,True,2,2,False,True,"[-1.4121126018413903,-1.0792211404928,1.2758267561851075,-0.010651050336590195]","[-1.4121126018413903,-2.0792211404928,1.2758267561851075,-0.010651050336590195]",1,2,1
69,eval-hard-004,True,1,0,True,True,"[-2.473682619547005,-1.9592010389738668,1.2931253296971017,-0.010239484346849625]","[-2.473682619547005,-1.9592010389738668,1.2931253296971017,-0.010239484346849625]",0,0,79
183,eval-hard-005,False,0,0,,,,,0,0,22
21,eval-hard-006,True,2,2,False,True,"[-1.3750982804562417,-2.0880769947936217,1.243330575704539,-0.010898356992683489]","[-2.3750982804562417,-2.0880769947936217,1.243330575704539,-0.010898356992683489]",3,2,12
14,eval-hard-007,False,1,0,True,True,"[-1.4261754446951929,-2.05877837821051,1.2919068782910768,-0.012239476590087506]","[-1.4261754446951929,-2.05877837821051,1.2919068782910768,-0.012239476590087506]",0,0,70
43,eval-hard-008,True,2,0,True,True,"[-1.3655693959979707,-1.9502078650418215,1.207615049511673,-0.0038986198312440656]","[-1.3655693959979707,-1.9502078650418215,1.207615049511673,-0.0038986198312440656]",0,0,82
37,eval-hard-009,True,2,2,False,True,"[-1.423954447067514,-2.079413925587679,1.28827379066224,0.7733170388582975]","[-1.423954447067514,-2.079413925587679,1.28827379066224,0.7733170388582975]",3,1,16
91,eval-hard-010,True,2,0,True,True,"[-1.3956386628247077,-2.0841076610849862,1.2601132556183863,0.7745411918781353]","[-1.3956386628247077,-2.0841076610849862,1.2601132556183863,0.7745411918781353]",4,2,2
54,eval-hard-012,False,0,0,,,,,0,0,61
192,eval-hard-013,True,0,0,,,,,0,0,27
1,eval-hard-015,True,2,0,True,True,"[-1.397159129208104,-2.0994446212754307,1.2733219964101763,0.7761773310815401]","[-1.397159129208104,-2.0994446212754307,1.2733219964101763,0.7761773310815401]",0,0,19
149,eval-hard-016,True,0,0,,,,,0,0,74
106,eval-hard-017,True,0,0,,,,,0,0,12
160,eval-hard-019,True,0,0,,,,,0,0,25
122,eval-hard-020,False,0,0,,,,,0,0,56
171,eval-hard-021,True,2,0,True,True,"[-1.453339846980698,-2.057292441197759,1.1895839790556058,-0.010025563577189978]","[-1.453339846980698,-2.057292441197759,1.1895839790556058,-0.010025563577189978]",0,0,14
212,eval-hard-022,True,2,0,True,True,"[-1.4176011050794097,-2.070297310542521,1.2883592393976822,-0.012079056595063253]","[-1.4176011050794097,-2.070297310542521,1.2883592393976822,-0.012079056595063253]",1,0,17
48,eval-hard-023,False,0,0,,,,,0,0,16
50,eval-hard-024,True,1,0,True,True,"[-1.4014799698696845,-2.075214108832884,1.2688339662595045,-0.010561939481065874]","[-1.4014799698696845,-2.075214108832884,1.2688339662595045,-0.010561939481065874]",7,1,35
180,eval-hard-025,False,1,0,True,True,"[-2.408011686145038,-2.0696891556333616,1.266589620503106,-0.010661538838150353]","[-2.408011686145038,-2.0696891556333616,1.266589620503106,-0.010661538838150353]",0,0,89
31,eval-hard-027,True,2,0,True,True,"[-1.4853611293962197,-1.9706787419519773,1.291520656362131,-0.01207333606159855]","[-1.4853611293962197,-1.9706787419519773,1.291520656362131,-0.01207333606159855]",0,0,3
101,eval-hard-028,True,2,0,True,True,"[-1.4132596021705124,-2.0594330225972364,1.278915335634115,-0.012192197515943803]","[-1.4132596021705124,-2.0594330225972364,1.278915335634115,-0.012192197515943803]",0,0,89
197,eval-hard-029,True,2,0,True,True,"[-1.433323328498665,-2.0814664989889375,1.2925682648906447,0.7751897605551537]","[-1.433323328498665,-2.0814664989889375,1.2925682648906447,0.7751897605551537]",0,0,58
58,eval-hard-030,True,2,1,True,True,"[-1.4281735173385761,-2.0247476233149855,1.2838091383750134,-0.008927995845741332]","[-1.4281735173385761,-2.0247476233149855,1.2838091383750134,-0.008927995845741332]",1,0,4
82,eval-moderate-015,False,2,1,True,True,"[-1.4008286901111249,-0.06069111383067215,1.2622330605897683,-0.013402483353997408]","[-2.400828690111125,-0.06069111383067215,1.2622330605897683,-0.013402483353997408]",1,0,61
