slot,scene,method,tier,role,retrieval_success,confirmation_failure,from_round,to_round,historical_view_id,model_all_phase_hit_cells,all_phase_actual_miss_cells,model_any_phase_hit_cells,any_phase_actual_miss_cells,actual_hit_cells,actual_outside_model_cells,needed_cells,needed_all_phase_hits,needed_all_phase_misses,needed_actual_hits,predicted_confirmation_all_phase,predicted_confirmation_any_phase,actual_prior_candidate_support_complete,actual_confirmation,newly_blocked_prior_viable,all_phase_candidate_support_false_positive
1,eval-hard-015,generic,hard,primary,False,True,1,2,1,891,8,1005,26,1093,114,165,111,0,123,False,False,False,False,0,0
1,eval-hard-015,generic,hard,primary,False,True,2,3,0,867,10,978,13,1118,153,147,100,2,107,False,False,False,False,0,0
2,eval-hard-015,ours,hard,primary,True,False,1,2,82,642,4,665,4,788,127,162,146,0,161,False,False,False,False,0,0
2,eval-hard-015,ours,hard,primary,True,False,2,3,0,683,31,716,32,781,97,100,96,4,96,False,True,True,True,0,0
3,eval-moderate-016,ours,moderate,primary,True,False,1,2,49,869,4,907,8,1037,138,165,163,0,165,False,False,False,False,0,0
3,eval-moderate-016,ours,moderate,primary,True,False,2,3,0,928,33,964,34,1041,111,44,44,0,44,True,True,True,True,0,0
4,eval-moderate-016,generic,moderate,primary,True,False,1,2,1,1104,13,1264,44,1326,106,162,160,3,159,False,False,False,False,0,0
4,eval-moderate-016,generic,moderate,primary,True,False,2,3,0,1095,15,1262,24,1354,116,40,40,0,40,True,True,True,True,0,0
5,eval-moderate-024,generic,moderate,primary,True,False,1,2,1,1134,32,1288,54,1318,84,170,158,2,168,False,True,True,True,0,0
6,eval-moderate-024,ours,moderate,primary,True,False,1,2,41,1008,6,1123,21,1265,163,170,161,0,170,False,True,True,True,0,0
7,eval-easy-033,ours,easy,primary,True,False,1,2,49,1088,4,1133,6,1213,86,178,176,0,178,False,False,False,False,0,0
7,eval-easy-033,ours,easy,primary,True,False,2,3,0,1142,18,1198,25,1212,39,66,66,0,66,True,True,True,True,0,0
8,eval-easy-033,generic,easy,primary,True,False,1,2,25,1483,20,1573,25,1573,25,176,165,0,176,False,False,False,False,0,0
8,eval-easy-033,generic,easy,primary,True,False,2,3,0,1461,37,1575,43,1555,23,41,41,0,41,True,True,True,True,0,0
9,eval-easy-009,ours,easy,primary,True,False,1,2,49,1079,3,1131,7,1204,80,166,164,0,166,False,False,False,False,0,0
9,eval-easy-009,ours,easy,primary,True,False,2,3,0,1139,48,1203,48,1195,40,46,46,0,46,True,True,True,True,0,0
10,eval-easy-009,generic,easy,primary,True,False,1,2,33,1431,34,1547,47,1551,51,166,133,6,159,False,False,False,False,0,0
10,eval-easy-009,generic,easy,primary,True,False,2,3,9,1509,6,1580,6,1594,20,52,51,0,52,True,True,True,True,0,0
11,eval-easy-006,generic,easy,primary,True,False,1,2,17,1518,20,1565,21,1578,34,178,166,1,177,False,False,False,False,0,0
11,eval-easy-006,generic,easy,primary,True,False,2,3,0,1520,15,1576,15,1584,23,46,44,0,46,True,True,True,True,0,0
12,eval-easy-006,ours,easy,primary,True,False,1,2,64,853,3,927,6,949,28,176,168,0,176,False,False,False,False,0,0
12,eval-easy-006,ours,easy,primary,True,False,2,3,0,893,65,964,69,916,21,47,47,2,45,True,True,True,True,0,1
13,eval-hard-007,ours,hard,primary,False,False,1,2,41,714,3,748,5,898,155,166,153,0,166,False,False,False,False,0,0
13,eval-hard-007,ours,hard,primary,False,False,2,3,42,681,9,726,11,889,174,133,131,0,133,True,True,True,True,0,0
14,eval-hard-007,generic,hard,primary,False,True,1,2,33,884,17,925,20,984,79,170,20,1,43,False,False,False,False,0,0
14,eval-hard-007,generic,hard,primary,False,True,2,3,0,858,10,921,14,982,75,144,3,0,17,False,False,False,False,0,0
15,eval-moderate-023,generic,moderate,primary,True,False,1,2,1,1073,19,1206,28,1283,105,170,169,1,169,False,False,False,False,0,0
15,eval-moderate-023,generic,moderate,primary,True,False,2,3,0,1066,16,1214,19,1295,100,39,39,0,39,True,True,True,True,0,0
16,eval-moderate-023,ours,moderate,primary,True,False,1,2,57,674,2,694,4,805,115,175,174,0,175,False,False,False,False,0,0
16,eval-moderate-023,ours,moderate,primary,True,False,2,3,0,723,0,743,1,822,80,58,58,0,58,True,True,True,True,0,0
17,eval-moderate-004,ours,moderate,primary,True,False,1,2,49,809,0,834,0,964,130,170,168,0,170,False,False,False,False,0,0
17,eval-moderate-004,ours,moderate,primary,True,False,2,3,0,852,21,878,22,966,110,59,59,0,59,True,True,True,True,0,0
18,eval-moderate-004,generic,moderate,primary,True,False,1,2,1,1109,11,1258,36,1324,102,168,166,0,168,False,False,False,False,0,0
18,eval-moderate-004,generic,moderate,primary,True,False,2,3,0,1108,9,1262,15,1361,114,47,47,0,47,True,True,True,True,0,0
19,eval-moderate-026,generic,moderate,primary,True,False,1,2,1,1080,20,1210,35,1270,95,170,165,1,169,False,True,False,False,0,0
19,eval-moderate-026,generic,moderate,primary,True,False,2,3,0,1084,16,1207,23,1288,104,21,21,0,21,True,True,True,True,0,0
