slot,scene,method,tier,role,retrieval_success,confirmation_failure,round,snapshot,candidates,viable,confirmed,vote_budget_possible_candidates,minimum_zero_cells,minimum_missing_cells,minimum_missing_tickets,fixed_source,fixed_missing_tickets,fixed_missing_cells,fixed_viable,task_mass
1,eval-hard-015,generic,hard,primary,False,True,1,slot-001-eval-hard-015-generic/attempt/data/rounds/round-01,36,5,0,5,59,96,158,584,158,96,True,145.32653298563167
1,eval-hard-015,generic,hard,primary,False,True,2,slot-001-eval-hard-015-generic/attempt/data/rounds/round-02,36,5,0,0,3,79,82,584,82,79,True,99.71653032171675
1,eval-hard-015,generic,hard,primary,False,True,3,slot-001-eval-hard-015-generic/attempt/data/rounds/round-03,36,5,0,0,3,19,22,584,22,19,True,71.56529403867192
2,eval-hard-015,ours,hard,primary,True,False,1,slot-002-eval-hard-015-ours/attempt/data/rounds/round-01,37,5,0,5,50,88,138,584,138,88,True,137.60490090218326
2,eval-hard-015,ours,hard,primary,True,False,2,slot-002-eval-hard-015-ours/attempt/data/rounds/round-02,37,5,0,4,0,50,50,584,50,50,True,83.85506066418012
2,eval-hard-015,ours,hard,primary,True,False,3,slot-002-eval-hard-015-ours/attempt/data/rounds/round-03,37,5,3,3,0,0,0,584,0,0,True,51.97008826079902
3,eval-moderate-016,ours,moderate,primary,True,False,1,slot-003-eval-moderate-016-ours/attempt/data/rounds/round-01,37,6,0,6,12,103,117,582,117,104,True,117.39020982522864
3,eval-moderate-016,ours,moderate,primary,True,False,2,slot-003-eval-moderate-016-ours/attempt/data/rounds/round-02,37,6,0,6,0,12,12,582,13,13,True,71.2007614091004
3,eval-moderate-016,ours,moderate,primary,True,False,3,slot-003-eval-moderate-016-ours/attempt/data/rounds/round-03,37,6,6,6,0,0,0,582,0,0,True,43.18544478950347
4,eval-moderate-016,generic,moderate,primary,True,False,1,slot-004-eval-moderate-016-generic/attempt/data/rounds/round-01,36,5,0,5,9,103,113,582,113,104,True,112.81633246407918
4,eval-moderate-016,generic,moderate,primary,True,False,2,slot-004-eval-moderate-016-generic/attempt/data/rounds/round-02,36,5,0,5,0,11,11,582,12,12,True,69.1425182114213
4,eval-moderate-016,generic,moderate,primary,True,False,3,slot-004-eval-moderate-016-generic/attempt/data/rounds/round-03,36,5,5,5,0,0,0,582,0,0,True,41.93705718496613
5,eval-moderate-024,generic,moderate,primary,True,False,1,slot-005-eval-moderate-024-generic/attempt/data/rounds/round-01,35,5,0,5,0,106,106,622,106,106,True,103.11021215114769
5,eval-moderate-024,generic,moderate,primary,True,False,2,slot-005-eval-moderate-024-generic/attempt/data/rounds/round-02,35,5,3,5,0,0,0,622,0,0,True,63.01680743622757
6,eval-moderate-024,ours,moderate,primary,True,False,1,slot-006-eval-moderate-024-ours/attempt/data/rounds/round-01,35,5,0,5,0,105,106,585,106,106,True,104.29062017200978
6,eval-moderate-024,ours,moderate,primary,True,False,2,slot-006-eval-moderate-024-ours/attempt/data/rounds/round-02,35,5,4,5,0,0,0,585,0,0,True,63.255458654768766
7,eval-easy-033,ours,easy,primary,True,False,1,slot-007-eval-easy-033-ours/attempt/data/rounds/round-01,32,7,0,7,23,102,128,501,128,102,True,133.53796454752757
7,eval-easy-033,ours,easy,primary,True,False,2,slot-007-eval-easy-033-ours/attempt/data/rounds/round-02,32,7,0,7,0,23,23,501,26,26,True,80.99486973369416
7,eval-easy-033,ours,easy,primary,True,False,3,slot-007-eval-easy-033-ours/attempt/data/rounds/round-03,32,7,7,7,0,0,0,501,0,0,True,49.12587177291632
8,eval-easy-033,generic,easy,primary,True,False,1,slot-008-eval-easy-033-generic/attempt/data/rounds/round-01,33,7,0,7,5,101,108,501,108,102,True,122.8816390612055
8,eval-easy-033,generic,easy,primary,True,False,2,slot-008-eval-easy-033-generic/attempt/data/rounds/round-02,33,7,0,7,0,5,5,501,6,6,True,74.53148160636269
8,eval-easy-033,generic,easy,primary,True,False,3,slot-008-eval-easy-033-generic/attempt/data/rounds/round-03,33,7,7,7,0,0,0,501,0,0,True,45.20562870806716
9,eval-easy-009,ours,easy,primary,True,False,1,slot-009-eval-easy-009-ours/attempt/data/rounds/round-01,37,5,0,5,15,101,120,623,120,105,True,118.39020982522864
9,eval-easy-009,ours,easy,primary,True,False,2,slot-009-eval-easy-009-ours/attempt/data/rounds/round-02,37,5,0,5,0,15,15,623,15,15,True,71.80729206881304
9,eval-easy-009,ours,easy,primary,True,False,3,slot-009-eval-easy-009-ours/attempt/data/rounds/round-03,37,5,5,5,0,0,0,623,0,0,True,43.55332423067491
10,eval-easy-009,generic,easy,primary,True,False,1,slot-010-eval-easy-009-generic/attempt/data/rounds/round-01,37,5,0,5,17,102,122,583,122,104,True,118.783679165516
10,eval-easy-009,generic,easy,primary,True,False,2,slot-010-eval-easy-009-generic/attempt/data/rounds/round-02,37,5,0,4,0,19,19,583,21,21,True,74.02613806063492
10,eval-easy-009,generic,easy,primary,True,False,3,slot-010-eval-easy-009-generic/attempt/data/rounds/round-03,37,5,4,4,0,0,0,583,0,0,True,44.899122353895365
11,eval-easy-006,generic,easy,primary,True,False,1,slot-011-eval-easy-006-generic/attempt/data/rounds/round-01,34,6,0,6,12,99,112,624,112,99,True,124.88163906120552
11,eval-easy-006,generic,easy,primary,True,False,2,slot-011-eval-easy-006-generic/attempt/data/rounds/round-02,34,6,0,6,0,13,13,624,14,14,True,75.98319414432915
