slot,scene,method,tier,role,retrieval_success,confirmation_failure,status,failure_reason,recorded_windows,available_snapshots,missing,evidence_applicability
1,eval-hard-015,generic,hard,primary,False,True,VALID_TRIAL,A5 stopped (VIEW_BUDGET_REACHED) without a confirmed exact candidate,3,3,[],OBSERVATION_PIPELINE
2,eval-hard-015,ours,hard,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
3,eval-moderate-016,ours,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
4,eval-moderate-016,generic,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
5,eval-moderate-024,generic,moderate,primary,True,False,VALID_TRIAL,,2,2,[],OBSERVATION_PIPELINE
6,eval-moderate-024,ours,moderate,primary,True,False,VALID_TRIAL,,2,2,[],OBSERVATION_PIPELINE
7,eval-easy-033,ours,easy,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
8,eval-easy-033,generic,easy,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
9,eval-easy-009,ours,easy,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
10,eval-easy-009,generic,easy,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
11,eval-easy-006,generic,easy,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
12,eval-easy-006,ours,easy,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
13,eval-hard-007,ours,hard,primary,False,False,VALID_TRIAL,guarded observation start full robot state invalid; collisions=['perceived_pick_target/ground/base_link'],3,3,[],OBSERVATION_PIPELINE
14,eval-hard-007,generic,hard,primary,False,True,VALID_TRIAL,A5 stopped (VIEW_BUDGET_REACHED) without a confirmed exact candidate,3,3,[],OBSERVATION_PIPELINE
15,eval-moderate-023,generic,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
16,eval-moderate-023,ours,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
17,eval-moderate-004,ours,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
18,eval-moderate-004,generic,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
19,eval-moderate-026,generic,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
20,eval-moderate-026,ours,moderate,primary,True,False,VALID_TRIAL,,3,3,[],OBSERVATION_PIPELINE
