scene,generic_slot,generic_retrieval,generic_round1_confirmed,generic_round1_minimum_missing_cells,generic_round1_fixed_missing_tickets,generic_round1_fixed_viable,generic_round2_confirmed,generic_round2_minimum_missing_cells,generic_round2_fixed_missing_tickets,generic_round2_fixed_viable,generic_round3_confirmed,generic_round3_minimum_missing_cells,generic_round3_fixed_missing_tickets,generic_round3_fixed_viable,ours_slot,ours_retrieval,ours_round1_confirmed,ours_round1_minimum_missing_cells,ours_round1_fixed_missing_tickets,ours_round1_fixed_viable,ours_round2_confirmed,ours_round2_minimum_missing_cells,ours_round2_fixed_missing_tickets,ours_round2_fixed_viable,ours_round3_confirmed,ours_round3_minimum_missing_cells,ours_round3_fixed_missing_tickets,ours_round3_fixed_viable
eval-easy-001,139,True,0,102,107,True,0,1,1,True,5,0,0,True,140,True,0,102,108,True,0,2,2,True,3,0,0,True
eval-easy-002,95,False,0,106,106,True,0,4,6,True,0,3,4,True,96,True,0,105,105,True,5,0,0,True,,,,
eval-easy-003,85,True,0,105,105,True,0,1,2,True,4,0,0,True,86,True,0,105,106,True,0,1,1,True,5,0,0,True
eval-easy-004,33,True,0,99,99,True,1,0,0,True,,,,,34,False,0,99,99,True,1,0,0,True,,,,
eval-easy-005,130,True,0,105,105,True,3,0,0,True,,,,,129,True,0,106,106,True,2,0,0,True,,,,
eval-easy-006,11,True,0,99,112,True,0,13,14,True,6,0,0,True,12,True,0,99,113,True,0,13,14,True,4,0,0,True
eval-easy-007,188,True,0,106,106,True,0,1,1,True,5,0,0,True,187,True,0,106,106,True,1,0,0,True,,,,
eval-easy-008,173,True,0,107,108,True,0,2,3,True,5,0,0,True,174,True,0,107,108,True,3,0,0,True,,,,
eval-easy-009,10,True,0,102,122,True,0,19,21,True,4,0,0,True,9,True,0,101,120,True,0,15,15,True,5,0,0,True
eval-easy-010,166,True,0,104,104,True,0,1,1,True,5,0,0,True,165,False,0,104,104,True,3,0,0,True,,,,
eval-easy-011,210,True,0,105,105,True,1,0,0,True,,,,,209,True,0,107,108,True,0,1,1,True,4,0,0,True
eval-easy-012,207,False,,,,,,,,,,,,,208,True,0,102,106,True,0,4,4,True,5,0,0,True
eval-easy-013,68,True,0,106,106,True,0,1,2,True,3,0,0,True,67,True,0,105,108,True,0,3,4,True,5,0,0,True
eval-easy-014,46,False,0,102,123,True,0,29,32,True,0,1,2,True,45,True,0,105,120,True,0,14,15,True,6,0,0,True
eval-easy-015,29,True,0,99,112,True,0,12,14,True,3,0,1,True,30,True,0,99,130,True,0,31,31,True,5,0,0,True
eval-easy-016,74,False,0,106,106,True,0,5,5,True,0,2,2,True,73,True,0,106,106,True,3,0,0,True,,,,
