slot,scene,method,tier,role,retrieval_success,confirmation_failure,round,fixed_round1_anchor,eventual_selected_anchor,source_id,candidate_id,evaluation_index,relevance,viable,blocked,clipped,cells,zero_cells,one_vote_cells,missing_cells,missing_tickets,confirmed,within_remaining_vote_budget
1,eval-hard-015,generic,hard,primary,False,True,1,True,False,584,candidate-000000,0,1.0,True,False,False,96,62,34,96,158,False,True
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,624,candidate-000002,2,1.0,True,False,False,101,62,39,101,163,False,True
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,583,candidate-000004,4,1.0,False,True,False,107,76,31,107,183,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,543,candidate-000005,5,1.0,False,True,False,108,80,28,108,188,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,623,candidate-000009,9,1.0,True,False,False,107,59,48,107,166,False,True
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,542,candidate-000012,12,1.0,True,False,False,105,79,26,105,184,False,True
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,663,candidate-000014,14,1.0,False,True,False,107,53,54,107,160,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,743,candidate-000022,22,1.0,False,True,False,104,27,77,104,131,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,783,candidate-000025,25,0.7085670322146393,False,True,False,102,18,84,102,120,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,541,candidate-000026,26,1.0,False,True,False,107,79,28,107,186,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,662,candidate-000028,28,1.0,False,True,False,105,49,56,105,154,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,702,candidate-000042,42,1.0,False,True,False,104,44,60,104,148,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,820,candidate-000048,48,1.0,False,True,False,99,31,68,99,130,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,581,candidate-000054,54,1.0,True,False,False,107,80,27,107,187,False,True
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,823,candidate-000055,55,0.7085670367875334,False,True,False,108,16,92,108,124,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,780,candidate-000056,56,1.0,False,True,False,107,45,62,107,152,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,742,candidate-000057,57,0.9165751090868195,False,True,False,102,39,63,102,141,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,661,candidate-000061,61,1.0,False,True,False,108,67,41,108,175,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,779,candidate-000063,63,1.0,False,True,False,108,50,58,108,158,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,701,candidate-000068,68,1.0,False,True,False,104,44,60,104,148,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,741,candidate-000072,72,1.0,False,True,False,103,40,63,103,143,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,860,candidate-000074,74,1.0,False,True,False,107,38,69,107,145,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,822,candidate-000077,77,0.7085670336472853,False,True,False,107,17,90,107,124,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,621,candidate-000079,79,1.0,False,True,False,103,74,29,103,177,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,739,candidate-000082,82,1.0,False,True,False,106,58,48,106,164,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,859,candidate-000086,86,1.0,False,True,False,107,41,66,107,148,False,False
1,eval-hard-015,generic,hard,primary,False,True,1,False,False,738,candidate-000094,94,1.0,False,True,False,108,67,41,108,175,False,False
